,Symbol,Name,Industry,IndustryCode
123,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
124,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
125,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
126,ACGL,Arch Capital Group Ltd,보험,553010
127,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
128,ANSS,ANSYS Inc,소프트웨어 및 IT서비스,572010
129,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
130,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
131,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
132,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
133,ZI,ZoomInfo Technologies Inc,소프트웨어 및 IT서비스,572010
134,IEP,Icahn Enterprises Units,오일 및 가스,501020
135,INCY,Incyte Corp,제약,562010
136,ERIC,Telefonaktiebolaget LM Ericsson ADR Class B,커뮤니케이션 및 네트워킹,571020
137,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
138,STLD,Steel Dynamics Inc,메탈&마이닝,512010
139,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
140,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
141,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
142,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
143,BMRN,Biomarin Pharmaceutical Inc,제약,562010
144,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
145,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
146,FSLR,First Solar Inc,재생에너지,502010
147,CINF,Cincinnati Financial Corp,보험,553010
148,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
149,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
150,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
151,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
152,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
153,LI,Li Auto Inc ADR,자동차 및 자동차 부품,531010
154,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
155,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
156,APA,APA Corp (US),오일 및 가스,501020
157,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
158,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
159,HZNP,Horizon Therapeutics PLC,제약,562010
160,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
161,COIN,Coinbase Global Inc Class A,핀테크,573010
162,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
163,UAL,United Airlines Holdings Inc,운송업,524060
164,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
165,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
166,CHK,Chesapeake Energy Corp,오일 및 가스,501020
167,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
168,SIVB,SVB Financial Group,은행,551010
169,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
170,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
171,LNT,Alliant Energy Corp,전기 유틸리티,591010
172,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
173,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
174,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
175,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
176,TER,Teradyne Inc,반도체 및 반도체 장비,571010
177,SEDG,Solaredge Technologies Inc,재생에너지,502010
178,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
179,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
180,VTRS,Viatris Inc,제약,562010
181,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
182,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
183,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
184,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
185,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
186,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
187,POOL,Pool Corp,레저 상품,532050
188,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
189,ERIE,Erie Indemnity Co Class A,보험,553010
190,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
191,PARA,Paramount Global Class B,미디어 및 출판,533020
192,ETSY,ETSY Inc,다양한 소매업,534020
193,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
194,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
195,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
196,UHAL,Amerco,화물 및 물류 서비스,524050
197,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
198,XP,XP Inc Class A,투자은행 및 서비스,551020
199,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
200,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
201,HOOD,Robinhood Markets Inc Class A,핀테크,573010
202,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
203,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
204,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
205,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
206,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
207,CG,Carlyle Group Inc,투자은행 및 서비스,551020
208,GRAB,Grab Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
209,EWBC,East West Bancorp Inc,은행,551010
210,SBNY,Signature Bank,은행,551010
211,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
212,ARCC,Ares Capital Corp,다양한 금융서비스,555010
213,MORN,Morningstar Inc,전문 및 상업 서비스,522030
214,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
215,PSNY,Polestar Automotive Holding Uk Plc ADR Class A,자동차 및 자동차 부품,531010
216,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
217,HTHT,H World Group Ltd ADR,호텔 및 엔터테인먼트,533010
218,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
219,TPG,TPG Inc Class A,투자은행 및 서비스,551020
220,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
221,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
222,CREE,Cree Inc,반도체 및 반도체 장비,571010
223,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
224,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
225,FOXA,Fox Corp Class A,미디어 및 출판,533020
226,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
227,AAL,American Airlines Group Inc,운송업,524060
228,CAR,Avis Budget Group Inc,운송업,524060
229,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
230,PLUG,Plug Power Inc,재생에너지,502010
231,FLEX,Flex Ltd,전자 장비 및 부품,571040
232,HAS,Hasbro Inc,레저 상품,532050
233,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
234,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
235,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
236,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
237,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
238,FFIV,F5 Inc,소프트웨어 및 IT서비스,572010
239,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
240,LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
241,PAA,Plains All American Pipeline Units,오일 및 가스 장비 및 서비스,501030
242,CBSH,Commerce Bancshares Inc,은행,551010
243,PBCT,People's United Financial Inc,은행,551010
244,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
245,FIVE,Five Below Inc,다양한 소매업,534020
246,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
247,DISH,DISH Network Corp Class A,미디어 및 출판,533020
248,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
249,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
250,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
251,ROKU,Roku Inc Class A,미디어 및 출판,533020
252,ZION,Zions Bancorporation NA,은행,551010
253,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
254,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
255,MIDD,Middleby Corp,가정용품,532040
256,KRTX,Karuna Therapeutics Inc,생명과학 및 메디컬 리서치,562020
257,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
258,RCM,R1 RCM Holdco Inc,헬스케어 업체 및 서비스,561020
259,DKNG,DraftKings Inc Class A,호텔 및 엔터테인먼트,533010
260,SEIC,SEI Investments Co,투자은행 및 서비스,551020
261,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
262,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
263,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
264,CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
265,BOKF,BOK Financial Corp,은행,551010
266,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
267,PDCE,PDC Energy Inc,오일 및 가스,501020
268,GTLB,GitLab Inc Class A,소프트웨어 및 IT서비스,572010
269,DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
270,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
271,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
272,FOX,Fox Corp Class B,미디어 및 출판,533020
273,SSB,SouthState Corp,은행,551010
274,CELH,Celsius Holdings Inc,음료,541010
275,NXST,Nexstar Media Group Inc,미디어 및 출판,533020
276,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
277,MAT,Mattel Inc,레저 상품,532050
278,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
279,APLS,Apellis Pharmaceuticals Inc,제약,562010
280,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
281,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
282,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
283,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
284,NWSA,News Corp Class A,미디어 및 출판,533020
285,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
286,IRDM,Iridium Communications Inc,통신 서비스,574010
287,CHRD,Chord Energy Corp,오일 및 가스,501020
288,ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
289,RGLD,Royal Gold Inc,메탈&마이닝,512010
290,PNFP,Pinnacle Financial Partners Inc,은행,551010
291,IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
292,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
293,REYN,Reynolds Consumer Products Inc,가정용품,532040
294,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
295,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
296,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
297,QDEL,Quidelortho Corp,헬스케어 장비 및 용품,561010
298,CACC,Credit Acceptance Corp,은행,551010
299,EXLS,Exlservice Holdings Inc,전문 및 상업 서비스,522030
300,VLY,Valley National Bancorp,은행,551010
301,HTZ,Hertz Global Holdings Inc,운송업,524060
302,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
303,CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
304,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
305,UBSI,United Bankshares Inc,은행,551010
306,ONB,Old National Bancorp,은행,551010
307,SIGI,Selective Insurance Group Inc,보험,553010
308,WTFC,Wintrust Financial Corp,은행,551010
309,FYBR,Frontier Communications Parent Inc,통신 서비스,574010
310,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
311,AFRM,Affirm Holdings Inc Class A,핀테크,573010
312,HCP,HashiCorp Inc Class A,소프트웨어 및 IT서비스,572010
313,OZK,Bank Ozk,은행,551010
314,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
315,VNOM,Viper Energy Partners Units,오일 및 가스,501020
316,WWD,Woodward Inc,우주항공 및 국방,521010
317,FSV,FirstService Corp,부동산 운영 관리,601010
318,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
319,PPC,Pilgrims Pride Corp,식품 및 담배,541020
320,NWL,Newell Brands Inc,가정용품,532040
321,OPCH,Option Care Health Inc,헬스케어 업체 및 서비스,561020
322,SAIA,Saia Inc,화물 및 물류 서비스,524050
323,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
324,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
325,QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
326,FFIN,First Financial Bankshares Inc,은행,551010
327,LNW,Light & Wonder Inc,호텔 및 엔터테인먼트,533010
328,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
329,PENN,PENN Entertainment Inc,호텔 및 엔터테인먼트,533010
330,SOFI,SoFi Technologies Inc,은행,551010
331,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
332,DRVN,Driven Brands Holdings Inc,"개인, 가정 용품 및 서비스",542010
333,DOOO,BRP Inc,레저 상품,532050
334,FUTU,Futu Holdings Ltd ADR,핀테크,573010
335,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
336,BPOP,Popular Inc,은행,551010
337,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
338,PYCR,Paycor HCM Inc,소프트웨어 및 IT서비스,572010
339,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
340,ENSG,Ensign Group Inc,헬스케어 업체 및 서비스,561020
341,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
342,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
343,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
344,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
345,LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
346,NOVT,Novanta Inc,전자 장비 및 부품,571040
347,EXPO,Exponent Inc,전문 및 상업 서비스,522030
348,LANC,Lancaster Colony Corp,식품 및 담배,541020
349,ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
350,LBTYK,Liberty Global PLC Class C,통신 서비스,574010
351,FIBK,First Interstate BancSystem Inc Class A,은행,551010
352,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
353,RUN,Sunrun Inc,재생에너지,502010
354,COHR,Coherent Corp,전자 장비 및 부품,571040
355,HWC,Hancock Whitney Corp,은행,551010
356,TSEM,Tower Semiconductor Ltd,반도체 및 반도체 장비,571010
357,KNTK,Kinetik Holdings Inc Class A,오일 및 가스 장비 및 서비스,501030
358,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
359,COLM,Columbia Sportswear Co,섬유 및 의류,532020
360,WING,Wingstop Inc,호텔 및 엔터테인먼트,533010
361,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
362,CERE,Cerevel Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
363,SPSC,SPS Commerce Inc,소프트웨어 및 IT서비스,572010
364,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
365,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
366,IAC,IAC Inc,소프트웨어 및 IT서비스,572010
367,FCFS,Firstcash Holdings Inc,은행,551010
368,TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
369,BCPC,Balchem Corp,식품 및 담배,541020
370,COKE,Coca-Cola Consolidated Inc,음료,541010
371,WEN,Wendys Co,호텔 및 엔터테인먼트,533010
372,CROX,Crocs Inc,섬유 및 의류,532020
373,UFPI,Ufp Industries Inc,종이 및 임산물,513010
374,FIZZ,National Beverage Corp,음료,541010
375,APPF,Appfolio Inc Class A,소프트웨어 및 IT서비스,572010
376,UMPQ,Umpqua Holdings Corp,은행,551010
377,KNBE,Knowbe4 Inc Class A,소프트웨어 및 IT서비스,572010
378,ITCI,Intra-Cellular Therapies Inc,생명과학 및 메디컬 리서치,562020
379,RRR,Red Rock Resorts Inc Class A,호텔 및 엔터테인먼트,533010
380,NVEI,Nuvei Corp,전문 및 상업 서비스,522030
381,MQ,Marqeta Inc Class A,핀테크,573010
382,CWST,Casella Waste Systems Inc Class A,전문 및 상업 서비스,522030
383,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
384,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
385,SLM,SLM Corp,은행,551010
386,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
387,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
388,LSXMA,Liberty Media Corp Series A,미디어 및 출판,533020
389,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
390,BHF,Brighthouse Financial Inc,보험,553010
391,MTSI,MACOM Technology Solutions Holdings Inc,반도체 및 반도체 장비,571010
392,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
393,UCBI,United Community Banks Inc,은행,551010
394,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
395,ACT,Enact Holdings Inc,보험,553010
396,CYTK,Cytokinetics Inc,생명과학 및 메디컬 리서치,562020
397,NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
398,PGNY,Progyny Inc,헬스케어 업체 및 서비스,561020
399,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
400,NARI,Inari Medical Inc,헬스케어 장비 및 용품,561010
401,UMBF,UMB Financial Corp,은행,551010
402,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
403,INDB,Independent Bank Corp (Massachusetts),은행,551010
404,CVBF,CVB Financial Corp,은행,551010
405,TFSL,TFS Financial Corp,은행,551010
406,MMSI,Merit Medical Systems Inc,헬스케어 장비 및 용품,561010
407,PTEN,Patterson-UTI Energy Inc,오일 및 가스 장비 및 서비스,501030
408,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
409,ALTR,Altair Engineering Inc Class A,소프트웨어 및 IT서비스,572010
410,AIMC,Altra Industrial Motion Corp,"건설장비 및 대형차, 기차, 배",521020
411,GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
412,DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
413,POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
414,SHLS,Shoals Technologies Group Inc Class A,"건설장비 및 대형차, 기차, 배",521020
415,ALKS,Alkermes Plc,생명과학 및 메디컬 리서치,562020
416,IRTC,iRhythm Technologies Inc,헬스케어 장비 및 용품,561010
417,CIGI,Colliers International Group Inc,부동산 운영 관리,601010
418,PINC,Premier Inc Class A,헬스케어 업체 및 서비스,561020
419,VC,Visteon Corp,자동차 및 자동차 부품,531010
420,FRSH,Freshworks Inc Class A,소프트웨어 및 IT서비스,572010
421,FELE,Franklin Electric Co Inc,"건설장비 및 대형차, 기차, 배",521020
422,SMCI,Super Micro Computer Inc,"컴퓨터, 전화 및 가전제품",571060
423,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
424,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
425,CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
